epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.6502,1.00963,1.94582,1.03177,0.91755,0.82353,0.92124,0.6713,0.90601,2.13301,0.94057,0.000658824,0.000658824,0.000658824
2,47.2029,0.94883,1.14692,0.98163,0.9414,0.92353,0.97244,0.72801,0.88112,0.92685,0.94516,0.00123801,0.00123801,0.00123801
3,66.003,0.93875,0.91788,0.98689,0.97303,0.95882,0.9873,0.73912,0.87184,0.81144,0.99934,0.00172919,0.00172919,0.00172919
4,85.7943,0.87423,0.75234,0.98107,0.95569,0.95882,0.9851,0.76062,0.82921,0.65052,0.97596,0.001604,0.001604,0.001604
5,103.588,0.85162,0.66373,0.96498,0.94591,0.93529,0.97559,0.70891,0.92278,0.6156,0.96057,0.001472,0.001472,0.001472
6,124.261,0.80663,0.64159,0.95775,0.9561,0.94412,0.97849,0.74334,0.86721,0.76776,0.97207,0.00134,0.00134,0.00134
7,141.364,0.81477,0.57273,0.96021,0.97864,0.97941,0.99287,0.79947,0.75117,0.49143,0.91158,0.001208,0.001208,0.001208
8,158.629,0.75481,0.52168,0.93033,0.98504,0.968,0.99094,0.78038,0.75847,0.4985,0.92499,0.001076,0.001076,0.001076
9,178.321,0.74862,0.50672,0.93319,0.98529,0.98472,0.99435,0.80571,0.73605,0.4505,0.90504,0.000944,0.000944,0.000944
10,195.495,0.71399,0.465,0.90231,0.99103,0.97487,0.99348,0.81725,0.72468,0.41635,0.89341,0.000812,0.000812,0.000812
11,214.82,0.68766,0.44086,0.88809,0.98709,0.99118,0.99351,0.818,0.72028,0.41225,0.90244,0.00068,0.00068,0.00068
12,232.02,0.66122,0.42153,0.88571,0.98636,0.98824,0.99452,0.84973,0.66288,0.3874,0.869,0.000548,0.000548,0.000548
13,249.051,0.63411,0.40232,0.87669,0.99116,0.98974,0.99473,0.84031,0.65098,0.37018,0.86102,0.000416,0.000416,0.000416
14,268.036,0.60579,0.37189,0.86933,0.99197,0.98824,0.99476,0.8553,0.63466,0.35707,0.8622,0.000284,0.000284,0.000284
15,285.158,0.59243,0.36005,0.86047,0.98986,0.99706,0.99491,0.86587,0.62617,0.33673,0.85623,0.000152,0.000152,0.000152
